id,nama,lokasi,phone,lat,long,alamat
133,RSUD Panglima Sebaya,Kalimantan Timur,(0543) 24563,-1.8734653,116.1764864,"Jl. Kusuma Bangsa No.km 5, Tepian Batang, Tanah Grogot, Kabupaten Paser, Kalimantan Timur"
134,RSU Taman Husada,Kalimantan Timur,(0548) 22111,0.142618,117.4456208,"Jl. Letjen S. Parman No.1, Belimbing, Bontang Bar., Kota Bontang, Kalimantan Timur"
135,RSUD Dr Soedarso,Kalimantan Barat,(0561) 737701,-0.0615716,109.3624383,"Jl. DR. Soedarso No.1, Bangka Belitung Laut, Kec. Pontianak Tenggara, Kota Pontianak, Kalimantan Barat "
136,RSUD Dr Abdul Azis,Kalimantan Barat,(0562) 631798,0.8954038,108.9704965,"Jl. Dr. Sutomo No.28, Pasiran, Singkawang Bar., Kota Singkawang, Kalimantan Barat "
137,RSUD Ade Mohammad Djoen,Kalimantan Barat,(0565) 21002,0.0755273,111.5011923,"Jl. Pattimura No.1, Tj. Puri, Kec. Sintang, Kabupaten Sintang, Kalimantan Barat"
138,RSUD Dr Agoesdjam,Kalimantan Barat,(0534) 3037239,-1.8327195,109.9652872,"Jl. DI Panjaitan No.51, Sampit, Delta Pawan, Kabupaten Ketapang, Kalimantan Barat"
139,RSUD Prof Dr H Aloei Saboe,Gorontalo,(+62)8124315555,0.5560345,123.0816118,"Jl. Prof. Dr. Aloe Saboe, Wongkaditi, Kota Utara, Kota Gorontalo, Gorontalo "
140,RSUD Undata Palu.,Sulawesi Tengah,(0451) 4908020,-0.8788256,119.8492446,"Jalan Trans Sulawesi Tondo, Talise, Mantikulore, Kota Palu, Sulawesi Tengah"
141,RSUD Kabupaten Banggai Luwuk,Sulawesi Tengah,(0461) 21820,-0.9463197,122.7974952,"Jl. Imam Bonjol No.14, Bungin Tim., Luwuk, Kabupaten Banggai, Sulawesi Tengah"
142,RSU Mokopido Toli-Toli,Sulawesi Tengah,(0453) 21301,1.0358848,120.8205882,"Jl. Lanoni No.37, Baru, Baolan, Kabupaten Toli-Toli, Sulawesi Tengah"
143,RSUD Kolonedale,Sulawesi Tengah,(0465) 21010,-1.9834077,121.3239877,"Jalan W Monginsidi No.2, Kolonodale, Petasia, Kabupaten Morowali, Sulawesi Tengah"
144,RSU Anutapura Palu,Sulawesi Tengah,(0451) 460570,-0.8998877,119.8472732,"Jl. Kangkung No.1, Donggala Kodi, Palu, Kota Palu, Sulawesi Tengah"
145,RSUP Prof Dr R D Kandou,Sulawesi Utara,(0431) 8383058,1.4535364,124.8059889,"Jl. Raya Tanawangko No.56, Malalayang Satu Barat, Kec. Malalayang, Kota Manado, Sulawesi Utara"
146,RSUD Kota Kotamobagu,Sulawesi Utara,(0434) 822816,0.7081921,124.3050919,"Pobundayan, Kotamobagu Sel., Kota Kotamobagu, Sulawesi Utara"
147,"RSU Ratatotok, Buyat.",Sulawesi Utara,(0431) 3177610,0.8694034,124.6975245,"Ratatotok, Kabupaten Minahasa Tenggara, Sulawesi Utara"
148,RSUD Dr Sam Ratulangi,Sulawesi Utara,(0431) 321171,1.3095684,124.9143731,"Jl. Suprapto No.123, Luaan, Tondano Tim., Kabupaten Minahasa, Sulawesi Utara"
149,RSUD Provinsi Sulawesi Barat,Sulawesi Barat,(0426) 2703260,-2.6874185,118.8670271," Jl. RE Martadinata, Simboro, Kec. Simboro Dan Kepulauan, Kabupaten Mamuju, Sulawesi Barat "
150,RSUP dr Wahidin Sudirohusodo,Sulawesi Selatan,(0411) 584677,-5.1348171,119.4913605,"Jl. Perintis Kemerdekaan No.KM, Tamalanrea Jaya, Kec. Tamalanrea, Kota Makassar, Sulawesi Selatan"
151,RS Dr Tadjuddin Chalid,Sulawesi Selatan,(0411) 512902,-5.1110752,119.514546,"Jl. Paccerakkang No.67, Paccerakkang, Kec. Biringkanaya, Kota Makassar, Sulawesi Selatan"
152,RSUD Labuang Baji,Sulawesi Selatan,(0411) 872120,-5.1625704,119.4160676,"Jl. DR. Ratulangi No.81, Labuang Baji, Kec. Mamajang, Kota Makassar, Sulawesi Selatan"
153,RS Tk II Pelamonia,Sulawesi Selatan,(0411) 7402332,-5.1381599,119.4126774,"Jl. Jend. Sudirman No.27, Pisang Utara, Kec. Ujung Pandang, Kota Makassar, Sulawesi Selatan"
154,RSU Lakipadada Toraja,Sulawesi Selatan,(0423) 22264,-3.0732794,119.8653971,"Tambunan, Makale Utara, Kabupaten Tana Toraja, Sulawesi Selatan"
155,RSU Andi Makkasau Parepare,Sulawesi Selatan,(0421) 21823,-4.0347249,119.6312927,"Jl. Nurussamawati No.9, Bumi Harapan, Kec. Bacukiki Bar., Kota Pare-Pare, Sulawesi Selatan"
156,RSUD Kabupaten Sinjai,Sulawesi Selatan,(0482) 21132,-5.1283766,120.2468594,"Jl. Jenderal Sudirman No.47, Biringere, Sinjai Utara, Kabupaten Sinjai, Sulawesi Selatan"
157,RS Bahtera Mas,Sulawesi Tenggara,(0401-3195611),-4.0334681,122.4902072,"Jl. Kapten Piere Tendean, Watubangga, Baruga, Kota Kendari, Sulawesi Tenggara"
158,RSUP Sanglah,Bali,(0361) 227911-15,-8.6757835,115.2109824,"Jl. Diponegoro, Dauh Puri Klod, Kec. Denpasar Bar., Kota Denpasar, Bali "
159,"RSUD Sanjiwani, Gianyar.",Bali,(0361) 943049,-8.5372573,115.3203536,"Jl. Ciung Wanara-Gianyar No.2, Gianyar, Kec. Gianyar, Kabupaten Gianyar, Bali"
160,RSU Tabanan,Bali,(0361) 811027,-8.5391479,115.1300213,"Jl. Pahlawan No.14, Delod Peken, Kec. Tabanan, Kabupaten Tabanan, Bali"
161,RSUD Kabupaten Buleleng,Bali,(0362) 22046,-8.1206469,115.0827259,"Jl. Ngurah Rai No.30, Astina, Kec. Buleleng, Kabupaten Buleleng, Bali"
162,RSUD Provinsi NTB,Nusa Tenggara Barat,(0370) 7502424,-8.4863308,118.6711513,"Jl. Datuk Dibanta, Jatiwangi, Asakota, Bima, Nusa Tenggara Barat."
163,RSU Bima,Nusa Tenggara Barat,(0374) 43142,-8.5391479,115.1300213,"Jl. Langsat No.1, Rabangodu Sel., Raba, Bima, Nusa Tenggara Barat."
164,RS H L Manambai Abdulkadir,Nusa Tenggara Barat,(0371) 2628078,-8.5315783,117.4455123,"Jl. Lintas Sumbawa-Bima KM 5, Seketeng, Kec. Sumbawa, Kabupaten Sumbawa, Nusa Tenggara Barat."
165,"RSUD Dr R Soedjono,",Nusa Tenggara Barat,01-123 2234567,-8.6506132,116.5261823,"Jl. Prof. M Yamin SH No.55, Khusus Kota Selong, Selong, Kabupaten Lombok Timur, Nusa Tenggara Barat"
166,RSU Prof Dr WZ Johanes,Nusa Tenggara Timur,(0380) 833614,-10.1698146,123.5844812,"Jl. Moch Hatta No.19, Kuanino, Kec. Kota Raja, Kota Kupang, Nusa Tenggara Timur"
167,RSUD Dr Tc Hillers,Nusa Tenggara Timur,(+62)81261153944,-8.6223804,122.2020435,"JL Wairklau, No. 1, 86113, Kota Baru, Alok Tim., Kabupaten Sikka, Nusa Tenggara Tim"
168,RSUD Komodo Labuan Bajo,Nusa Tenggara Timur,(+62)81337055250,-8.5177973,119.8709013,"Golo Bilas, Komodo, Kabupaten Manggarai Barat, Nusa Tenggara Timur"
169,RSU Dr M. Haulussy,Maluku,(0911) 344871,-8.6506132,116.5261823,"Jl. Dr. Kayadoe, Benteng, Nusaniwe, Kel Benteng, Nusaniwe, Kota Ambon, Maluku"
170,RSUP dr J Leimena,Maluku,-,-3.7085186,128.1633375,"Rumah Tiga, Tlk. Ambon, Kota Ambon, Maluku"
171,RSUD Dr P P Magretti,Maluku,(0918) 21113,-7.9742119,131.3059719,"JL. Ir. Soekarno - Poros Utama, Saumlaki, Tanimbar Sel., Kabupaten Maluku Tenggara Barat, Maluku"
172,RSUD Dr H Chasan Boesoirie,Maluku Utara,(0921) 3121281,0.7820785,127.3735873,"Jl. Cempaka, Tanah Tinggi Bar., Ternate Sel., Kota Ternate, Maluku Utara"
173,RSU Jayapura,Papua,(0967) 533616,-2.534945,140.7082262,"Jl. Kesehatan No.1, Dok II, Bayangkara, Jayapura Utara, Kota Jayapura, Papua"
174,RSU Merauke,Papua,(0971) 32112,-8.4817861,140.3865955,"Jl. Soekarjo Wiryopranoto No.1, Maro, Kec. Merauke, Kabupaten Merauke, Papua"
175,RSU Nabire,Papua,(0984) 21845,-3.3424558,135.5273993,"Jl. R.E. Martadinata, Siriwini, Kec. Nabire, Kabupaten Nabire, Papua"
176,RSUD Manokwari,Papua Barat,(0986) 211440,-0.8708825,134.0765299,"Jl. Siliwangi No.1, Manokwari Bar., Kabupaten Manokwari, Papua Barat"
177,RSUD Kabupaten Sorong,Papua Barat,(0951) 321850.,-0.8695863,131.2446338,"Jl. Kesehatan No.36, Kp. Baru, Kec. Sorong, Kota Sorong, Papua Barat"
